"","health_board","LSOA_name","LSOA_code","patients","Locality","total_locality_pop","prop_of_locality","Code","items","cost","quantity","item","items_per_lsoa","cost_per_lsoa","quantity_per_lsoa"
"1","Betsi Cadwaladr University Health Board","Isle of Anglesey 007A","W01000001",0,"Isle of Anglesey",70009,0,"6B1",19745,436446.6975,45216,"inhalers",0,0,0
"2","Betsi Cadwaladr University Health Board","Isle of Anglesey 007B","W01000002",0,"Isle of Anglesey",70009,0,"6B1",19745,436446.6975,45216,"inhalers",0,0,0
"3","Betsi Cadwaladr University Health Board","Isle of Anglesey 001A","W01000003",2507,"Isle of Anglesey",70009,0.0358096816123641,"6B1",19745,436446.6975,45216,"inhalers",707.06216343613,15629.0172782428,1619.17056378466
"4","Betsi Cadwaladr University Health Board","Isle of Anglesey 001B","W01000004",1155,"Isle of Anglesey",70009,0.0164978788441486,"6B1",19745,436446.6975,45216,"inhalers",325.750617777714,7200.44473728378,745.968089817023
"5","Betsi Cadwaladr University Health Board","Isle of Anglesey 005A","W01000005",1650,"Isle of Anglesey",70009,0.0235683983487837,"6B1",19745,436446.6975,45216,"inhalers",465.358025396735,10286.3496246911,1065.66869973861
"6","Betsi Cadwaladr University Health Board","Isle of Anglesey 006A","W01000006",1619,"Isle of Anglesey",70009,0.0231255981373823,"6B1",19745,436446.6975,45216,"inhalers",456.614935222614,10093.0909347727,1045.64704537988
"7","Betsi Cadwaladr University Health Board","Isle of Anglesey 009A","W01000007",1732,"Isle of Anglesey",70009,0.0247396763273293,"6B1",19745,436446.6975,45216,"inhalers",488.484909083118,10797.5500302818,1118.62920481652
"8","Betsi Cadwaladr University Health Board","Isle of Anglesey 008A","W01000008",1323,"Isle of Anglesey",70009,0.0188975703123884,"6B1",19745,436446.6975,45216,"inhalers",373.132525818109,8247.78215361596,854.472539244954
"9","Betsi Cadwaladr University Health Board","Isle of Anglesey 007C","W01000009",1951,"Isle of Anglesey",70009,0.0278678455627134,"6B1",19745,436446.6975,45216,"inhalers",550.250610635775,12162.8291622863,1260.07250496365
"10","Betsi Cadwaladr University Health Board","Isle of Anglesey 002A","W01000010",1960,"Isle of Anglesey",70009,0.0279964004627976,"6B1",19745,436446.6975,45216,"inhalers",552.788927137939,12218.9365238755,1265.88524332586
